table_id,description,source_path,output_path,n_rows,n_columns
ST15,MIF versus expression-matched control distribution summary,results/tables/gse307534_mif_random_control_summary.csv,results/supplementary_tables/ST15_gse307534_mif_random_control_summary.csv,1,8
ST16,MIF tissue-density control associations,results/tables/gse307534_mif_density_control_summary.csv,results/supplementary_tables/ST16_gse307534_mif_density_control_summary.csv,4,6
ST17,Broad macrophage-signature paired-patient control statistics,results/tables/gse307534_mif_broad_signature_control_paired_stats.csv,results/supplementary_tables/ST17_gse307534_mif_broad_signature_control_paired_stats.csv,4,11
ST18,Per-sample GSE308103 candidate-gene expression by broad compartment,results/tables/gse308103_snrna_candidate_gene_sample_summary.csv,results/supplementary_tables/ST18_gse308103_snrna_candidate_gene_sample_summary.csv,2250,9
ST19,Stage-level GSE308103 candidate-gene expression by broad compartment,results/tables/gse308103_snrna_candidate_gene_stage_summary.csv,results/supplementary_tables/ST19_gse308103_snrna_candidate_gene_stage_summary.csv,150,8
ST20,Focused orthogonal-validation snRNA source data,results/tables/supplementary_figure_focused_orthogonal_validation_snrna_source.csv,results/supplementary_tables/ST20_supplementary_figure_focused_orthogonal_validation_snrna_source.csv,50,9
ST21,Focused orthogonal-validation bulk source data,results/tables/supplementary_figure_focused_orthogonal_validation_bulk_source.csv,results/supplementary_tables/ST21_supplementary_figure_focused_orthogonal_validation_bulk_source.csv,40,6
ST22,Covariate-adjusted source-side MIF spatial sensitivity models,results/tables/gse307534_mif_covariate_sensitivity_models.csv,results/supplementary_tables/ST22_gse307534_mif_covariate_sensitivity_models.csv,8,11
ST23,Paired-patient source-side MIF covariate changes,results/tables/gse307534_mif_covariate_paired_changes.csv,results/supplementary_tables/ST23_gse307534_mif_covariate_paired_changes.csv,20,5
ST24,Gene-level source data for SPP1 signature specificity refinement,results/tables/supplementary_figure_spp1_signature_refinement_gene_source.csv,results/supplementary_tables/ST24_supplementary_figure_spp1_signature_refinement_gene_source.csv,30,11
ST25,Specificity-status source data for SPP1 signature refinement,results/tables/supplementary_figure_spp1_signature_refinement_status_source.csv,results/supplementary_tables/ST25_supplementary_figure_spp1_signature_refinement_status_source.csv,3,7
ST26,Top-celltype source data for SPP1 signature refinement,results/tables/supplementary_figure_spp1_signature_refinement_celltype_source.csv,results/supplementary_tables/ST26_supplementary_figure_spp1_signature_refinement_celltype_source.csv,5,3
ST27,GSE308103 GRN-level virtual perturbation target ranking,results/tables/gse308103_grn_virtual_perturbation_target_ranking.csv,results/supplementary_tables/ST27_gse308103_grn_virtual_perturbation_target_ranking.csv,7,10
ST28,GSE308103 GRN-level virtual perturbation robustness summary,results/tables/gse308103_grn_virtual_perturbation_robustness_summary.csv,results/supplementary_tables/ST28_gse308103_grn_virtual_perturbation_robustness_summary.csv,7,12
ST29,Cross-dataset validation rows for GRN-prioritized signatures,results/tables/grn_cross_dataset_signature_validation.csv,results/supplementary_tables/ST29_grn_cross_dataset_signature_validation.csv,28,19
ST30,Cross-dataset validation summary for GRN-prioritized signatures,results/tables/grn_cross_dataset_signature_validation_summary.csv,results/supplementary_tables/ST30_grn_cross_dataset_signature_validation_summary.csv,7,7
ST31,Original scTenifoldKnk expanded sensitivity and boundary summary,results/tables/sctenifoldknk_original_expanded_interpretation.csv,results/supplementary_tables/ST31_sctenifoldknk_original_expanded_interpretation.csv,7,19
